"Title";"Directors";"País";"Año";"Género";"Actores";"UserRating";"FArating";"NúmeroVotos"
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"Gary Sinise";"8";"8.2";"197,113 "
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"Mykelti Williamson";"8";"8.2";"197,113 "
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"Sally Field";"8";"8.2";"197,113 "
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"Rebecca Williams";"8";"8.2";"197,113 "
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"Michael Conner Humphreys";"8";"8.2";"197,113 "
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"Haley Joel Osment";"8";"8.2";"197,113 "
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"George Kelly";"8";"8.2";"197,113 "
"Forrest Gump ";"Robert Zemeckis";"United States";"1994";"Comedy";"Bob Penny";"8";"8.2";"197,113 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Bill Pullman";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Christina Ricci";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Eric Idle";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Cathy Moriarty";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Amy Brenneman";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Ben Stein";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Devon Sawa";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Don Novello";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Wesley Thompson";"7";"5.5";"32,057 "
"Casper ";"Brad Silberling";"United States";"1995";"Fantasy";"Dan Aykroyd";"7";"5.5";"32,057 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Jennifer Grey";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Patrick Swayze";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Jerry Orbach";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Cynthia Rhodes";"7";"6.1";"72,838 "
